;used_liter;image;cadran_1;cadran_2;cadran_3;cadran_4
49;44;7df49abdbd72e550b6f37ebb5206ab4e94f4be7d.jpg;X;X;4;4
50;68;58b18aba0f01c20bc6042525158579785c74eba0.jpg;X;X;6;8
51;51;fc302f8fddf7e0a77550953f36d6a5148019680e.jpg;X;X;5;1
52;46;6d9e01bb68c31e9227beb6b0fd52423f21c16648.jpg;X;X;4;6
53;55;1bc7bbefa14f6d7680e055191f8ba99823defba6.jpg;X;X;5;5
54;50;98ec95acaf26bde374a5301009c0fe7c09e447ac.jpg;X;X;5;0
55;198;184bad9043c572a63c3e2f838e79955faf946181.jpg;X;1;9;8
56;93;b2b721636f4ba3ef7cd4f2e2eec3730116470f58.jpg;X;X;9;3
57;146;2f4e7043428941035e5fec2ae92e9b6b6b14ddd7.jpg;X;1;4;6
58;200;4ac652ff81459defe503fb6a28feaedf4ac2fb7c.jpg;X;2;0;0
59;172;28664c8bffb7bec48411563f3c0db7e5f118889b.jpg;X;1;7;2
60;174;bf81cd3258241d91ba9e915e8bf309da16a574ed.jpg;X;1;7;4
61;93;e091c458e962655ceff9bff8ff56961d8ce23b99.jpg;X;X;9;3
62;91;3143a8b25a7f6f9ac1b47475d010ea6d113270b8.jpg;X;X;9;1
63;51;41ba9d95ab7ef9a43bfccfa13f9ffc160f25b8ab.jpg;X;X;5;1
64;113;45fec9e34de2083d6e045b7ee99b0780183ab0e9.jpg;X;1;1;3
65;60;4534e267bea350e8afdfff3e9c4d0933933b0429.jpg;X;X;6;0
66;209;b746312f413f1373779b00b82d9c83c0e3d881b2.jpg;X;2;0;9
67;35;3783acb95a917cf46cd7dc0fdcf9466cc98707bb.jpg;X;X;3;5
68;67;4c14ffddd8e9ca7b4a833ab8ce146301fc2c88b6.jpg;X;X;6;7
69;67;b0960a1248959ec24e6a7241e8c6c6d343c1141d.jpg;X;X;6;7
70;55;474494db28922d7e400d7b24541695bcb6366532.jpg;X;X;5;5
71;208;4556bd987b4448bf6a45adf2fb9b40d495d1f00d.jpg;X;2;0;8
72;88;b709749645b5c905d731a7f3725433b7c0360526.jpg;X;X;8;8
73;72;05e5e706f7654e756c1d4dc0740759f9559ab638.jpg;X;X;7;2
74;58;fe1dc0a44b58c36fd9215a6d201920deefe7c309.jpg;X;X;5;8
75;206;dd31a247c313689d77bbf8fbf2bd7dbac8d44333.jpg;X;2;0;6
76;60;86f374d068c3526c462b47a55dc2f7cbffe34521.jpg;X;X;6;0
77;150;94d7dd836ea0c1b8f4fdf7dac0779e009bd2de7c.jpg;X;1;5;0
78;169;c69919d412947c420a8150017bcb05cda8ab7fb7.jpg;X;1;6;9
79;27;8ecb0b9d2fba086caf434b7a4864434f9ea0da0e.jpg;X;X;2;7
80;146;5108b091a7f6a6364f7f125cead992f55fafb8ed.jpg;X;1;4;6
81;215;b772d011f189cc97e88de5d114a0821941435fd4.jpg;X;2;1;5
82;69;5addbeb17642fd1bedfa36f02aa594601d9a4d7e.jpg;X;X;6;9
83;100;631887ed74c7390a6e2c81d5c11ac529b40cac24.jpg;X;1;0;0
84;142;bf52fb9d9ca985341979a2b9db06838614f306b5.jpg;X;1;4;2
85;23;0c1979be441eb95a6f1c7aaba65edeefda5412a9.jpg;X;X;2;3
86;95;129bb38115a3cf224bdf9a593e2df0465db79bc6.jpg;X;X;9;5
87;168;659667ef81a9faea100e326ae165535e530785d4.jpg;X;1;6;8
88;238;0688de8a02d78ef6fc31ee7aa625eb1a7dc3ba4a.jpg;X;2;3;8
89;54;e452881a7b82c7b224e38b754424da1f3b96060d.jpg;X;X;5;4
90;36;57f163278000a53c4199e6cff9e949bef60154f7.jpg;X;X;3;6
91;96;b5d5e0eff5f4408e101561c89f0172212a6d2216.jpg;X;X;9;6
92;86;ad303bb8b900d6002a618c9edb2691e4927986d8.jpg;X;X;8;6
93;186;cc3f2c7a152b1353e4d0149ea4516bed71c781df.jpg;X;1;8;6
94;76;ebbeb1b4a007e7d5a4f62c2b504484c09fb43dde.jpg;X;X;7;6
95;194;05f3d4b586d92ba18b00dedd6dbe4a163f9ea1c1.jpg;X;1;9;4
96;161;b77a9c3bdaf91f0fcce9ca05f598c34139a11205.jpg;X;1;6;1
97;148;80f4419eee02f02c34f4b4f65d65b34ad07be278.jpg;X;1;4;8
98;33;f467271c3de398ffe78268830059c2fd8dc29b90.jpg;X;X;3;3
99;74;ea505d33dc581c054d6ab218048536b9e5b05fe4.jpg;X;X;7;4
100;66;0fc1317374529ccc9ead94895c8722c1681ce187.jpg;X;X;6;6
101;51;97fbf9288a53ee809eb4538b507b1b8c01b17be5.jpg;X;X;5;1
102;276;f1cbc378299894f7f09e6d3aea25b0f962e9af8a.jpg;X;2;7;6
103;114;10edfb73d2b261b00e2f509ec36b05c4d6fab706.jpg;X;1;1;4
104;54;9fbf5baf2483b1c0cb21c8d00cbe6dac038b2ff1.jpg;X;X;5;4
105;203;9254cdb3e6d79badf7aeed6973383edaaaaa7e64.jpg;X;2;0;3
106;177;fc7e8efc0039ff4f010ef9b28783351575e225bd.jpg;X;1;7;7
107;194;840502a0ad0ee55ef41b7a051cc86d9471559cb1.jpg;X;1;9;4
108;120;0086c28630535f9d722eed740f9ce3f8336ec432.jpg;X;1;2;0
109;202;b1195235570b5ee9f11ba8adb64e165b8d81e6d0.jpg;X;2;0;2
110;69;e72a9402841f1fd6a2c3c9f27a25d405640ce194.jpg;X;X;6;9
111;154;18a1f78397b98a02bcbfbe69b390b9c72be1d686.jpg;X;1;5;4
112;65;6b5d829c02194467ae05ab5c9cc563671814c159.jpg;X;X;6;5
113;85;60a6920c0470dee667dd218bab542e0528e3ba8f.jpg;X;X;8;5
114;71;e023858ed388731bbccbbc2d6a64983b145b0b4a.jpg;X;X;7;1
115;217;a3169ca6db33dda2b32c96f5063117e2ee3eb2c0.jpg;X;2;1;7
116;47;bf587a4df84cc4dd291e9c64b1c0e5a0d198580c.jpg;X;X;4;7
117;66;2236648840225d976d1feb6155c9de07b129f403.jpg;X;X;6;6
118;50;60f603ee8cc95cf1125c4f159502f65b85195bef.jpg;X;X;5;0
119;39;36a73c74ef0b76639e12488651f587fb06a9baab.jpg;X;X;3;9
120;76;957d8fe28fed4ca5f8b2aab0a4ff3032ca631165.jpg;X;X;7;6
121;44;768ffa2daba12461bc698a2b740ecbbfb15fce8c.jpg;X;X;4;4
122;47;b7f78a8f28674b7700c7c8f0c1e949cd6eab5f42.jpg;X;X;4;7
123;67;a6bd371130fec0f12d7b2a32865ddae3e026aa37.jpg;X;X;6;7
124;242;fbb22d2e929fc4e7cef446edf6306fd807329bea.jpg;X;2;4;2
125;247;aaa54960feb69aa9be5bb088ad9dbf0a6d4cee2d.jpg;X;2;4;7
126;223;c0313de737369b43bb8d6855517e4980630c89bd.jpg;X;2;2;3
127;80;41b5d9fc07d41287a37339282057a1aff4c7b2ed.jpg;X;X;8;0
128;104;846136278e66e5431f21403ca750168fd825930a.jpg;X;1;0;4
129;180;85734ff0041e6244f29ffcfbe2c89d8c580162dc.jpg;X;1;8;0
130;53;02b292a500dfb9192379fe830534cfd8b38f003f.jpg;X;X;5;3
131;230;7c78f916fc9f716f6c7db5095cd690f79b29cd31.jpg;X;2;3;0
132;222;2bf3406560e9dc92dbcb5b50291689e7ff858a80.jpg;X;2;2;2
133;175;f459be06cce486e8199930cfb3ed8c42d2f1a4b8.jpg;X;1;7;5
134;30;373864709100c8c0b8f3e6c3722ff9453747b889.jpg;X;X;3;0
135;60;7910fdcf50e2e8a471e13056eec64befa8a94140.jpg;X;X;6;0
136;59;18f0202e901fb1ed202bc75d68533358e3c8b7e3.jpg;X;X;5;9
137;44;63a8e6111690bca37052c237047fd85162facf5d.jpg;X;X;4;4
138;212;81ac47bdd1e225569ed626a723644a00216d8f75.jpg;X;2;1;2
139;211;1f1ec8eee75d4988d7756895aa780a6dee908118.jpg;X;2;1;1
140;54;8eeaee0a4748acb92d5fbbccd10c93d120b96986.jpg;X;X;5;4
141;161;cc4bf7bc265a045746f6a2ac3c77c6a498712307.jpg;X;1;6;1
142;73;30131c888cef3e66e4cb4f29ee45c43c8b24aeaa.jpg;X;X;7;3
143;52;c6050c9162ec2310f81dea88715d9f0af4f98942.jpg;X;X;5;2
144;255;cc9acb43543022d0e9ba0af8e059f92a602ba80f.jpg;X;2;5;5
145;49;64c2c2499251eb9ba07f3476d6205a0156773ffc.jpg;X;X;4;9
146;106;9a36b9a6305e01cb859fce9eb01b9bbfbc4cbbbd.jpg;X;1;0;6
147;73;f655c28f9f983c49d10d0744b6df17b60aef59e9.jpg;X;X;7;3
148;78;c203beb685cec15caa6a25122daed0b28df3b951.jpg;X;X;7;8
149;55;9f4e2949e665100744dafaaa13c9d436bdd7fff9.jpg;X;X;5;5
150;201;9b5cac08bb596e68e52fd5f5033f74e00622cfa5.jpg;X;2;0;1
151;123;29d04b7a38c2d2005f07588f348296f396fe8614.jpg;X;1;2;3
152;165;28feeee4d7e52d0ba5d2cee31c8886e57f574319.jpg;X;1;6;5
153;135;9879e8fcac36d3a82bea304b0af56bde5533f5f1.jpg;X;1;3;5
154;150;1f27a79030d2b43055f03b2c77214f1c29681dcd.jpg;X;1;5;0
155;87;b802e264b4be4f3ea85671ef53da4d39097a2937.jpg;X;X;8;7
156;34;67fcfc525568301048c4eeb4554173013daed55a.jpg;X;X;3;4
157;212;f306218639ef34f32df3d50073efd7521f7b3ac1.jpg;X;2;1;2
158;212;4a322d88fca63d74fb42eee30846e99735c17905.jpg;X;2;1;2
159;49;48a1a65aa0c10594219c98d6a36ae695e1b0aea5.jpg;X;X;4;9
160;58;b3a9e5dcdca2c89d0e0ccc9aab1d74f74ddb9cd6.jpg;X;X;5;8
161;54;3dda11f98b920b17f0cb011cb881888801bf991a.jpg;X;X;5;4
162;61;c61272eefb1800353952a64d8232b2fdf3a26e52.jpg;X;X;6;1
163;114;9b53257ee7e2e46b0e2907c5b8aaac4b94712faa.jpg;X;1;1;4
164;204;503c6f058305af8803290cfd7b101f61060ede87.jpg;X;2;0;4
165;34;f2874f433bb06748b4a583ef35b827ae352ef147.jpg;X;X;3;4
166;62;c6b10b24c45ce1cbe505f6130b14c503810ee3d6.jpg;X;X;6;2
167;55;f8078b64f04fff2627fa142eb26084a166870bd4.jpg;X;X;5;5
168;235;15c41a2e99339f2698e386e1370ac1471ae430e3.jpg;X;2;3;5
169;195;c5afb8d3970a23a361c3f8a1e54400d5b0d07c89.jpg;X;1;9;5
170;36;565655306167c014f879797a2ee651ad590f1157.jpg;X;X;3;6
171;67;6be6106d6ca690c46cd575d85294185c86081006.jpg;X;X;6;7
172;37;260693f35709a7fe26304978d77ab9ccc45fa5ad.jpg;X;X;3;7
173;215;73a572dd4369bdb99f5669cb038019160bc63b47.jpg;X;2;1;5
174;65;4cf115ed8fca1464e52f495df2b35ed1f21b9b9f.jpg;X;X;6;5
175;240;58dfbdaeab5fda2ceb0e7bafdb240becfafb762a.jpg;X;2;4;0
176;210;9b335a61b30d6097ba1417dc56b2f271b86b4be4.jpg;X;2;1;0
177;72;dea0071da808c456b52e9ae7c681ce12d522ec38.jpg;X;X;7;2
178;213;169ee15bb3b1036bee1012ec12c91048939b1589.jpg;X;2;1;3
179;73;7b46efce5cb470220e16da197406c8b21ea2c840.jpg;X;X;7;3
180;138;1d0cef2855b9886e7c075b09eb4d19cacb98f225.jpg;X;1;3;8
181;191;dd6b9a76ce131643252f4738bf1ec759809fc4b5.jpg;X;1;9;1
182;120;2b1f5ea851600eec2cc600014ffd59a320c096e3.jpg;X;1;2;0
183;175;c18b6f8b996ee88e387824a41e123e9e3e56d348.jpg;X;1;7;5
184;38;92230131b7174318da8b76b80884ebf17f9ea6f6.jpg;X;X;3;8
185;29;fa61c55f5f6118108d5a210875c79e2335bea219.jpg;X;X;2;9
186;226;e1d0c7cffa534df014e9a2970b1b29171f8a8a90.jpg;X;2;2;6
187;87;b4277e42d2cce05adde28e436ecc141c4733ab45.jpg;X;X;8;7
188;37;4155206a4bc1633ddfb2f0fd907dfd01d2e1616e.jpg;X;X;3;7
189;35;494c6fda6eace52cecf37de39c5921517739ab58.jpg;X;X;3;5
190;176;d4b26d2b599dbad8acd3db7ce0f7242758b05907.jpg;X;1;7;6
191;156;12662593fe501b98e441b948ad553a46cc1944cd.jpg;X;1;5;6
192;23;947ed0d788292140ef2a23326969d962d423575e.jpg;X;X;2;3
193;60;d4d80b48e9a9cc80bdcfa4cdadf29951a18df346.jpg;X;X;6;0
194;175;e834fadd3461bb593a7d2d72885f8d2319480b87.jpg;X;1;7;5
195;217;8e4f016190f77e5aa58c53509d869e915a0be67b.jpg;X;2;1;7
196;103;500754878cb758552f525280c872dc565b3de8b5.jpg;X;1;0;3
197;237;12e7597c51eacba5455793920b73d008db8a63b4.jpg;X;2;3;7
198;74;0249b3ed6a5442489f764e48177e28422e48296a.jpg;X;X;7;4
199;207;8edb3482301d1a01e52312c33e055b55d2fa9134.jpg;X;2;0;7
200;37;1755d81d0bbd4be27d0389b6edf416ff50621d4f.jpg;X;X;3;7
201;37;beb7c3ddd59f77b342ab1d4016d11562f8543de6.jpg;X;X;3;7
202;210;7d5791314bdebcf4d57b8c7f0358abe7cc1003e8.jpg;X;2;1;0
203;58;d350bed5855bb0233e9f539da24ab4d9fd25eadf.jpg;X;X;5;8
204;57;a0fcee07eb3fbe5145ec497d42a918fbc615fd4e.jpg;X;X;5;7
205;107;ac74fcbbaced723cd4ba98fd7fab764a665783ec.jpg;X;1;0;7
206;234;4b9a7c65f5c42ea5e0f36682584755d56ef45c8d.jpg;X;2;3;4
207;66;f27af009385bf56b693dd96ca50bfdc93b8a945a.jpg;X;X;6;6
208;129;55879a955e5b20ea30ead7c5b3557287b335c632.jpg;X;1;2;9
209;201;2498d375b9d31b142841b57a4ac3983e7a698075.jpg;X;2;0;1
210;53;f4c377be5defcba29c7f722b718a7319988e6add.jpg;X;X;5;3
211;219;27f3c33acc8c524f97d752e7577e1c379727855a.jpg;X;2;1;9
212;40;ed19955cfa901c23e20ba492411e34906586436e.jpg;X;X;4;0
213;67;32de75ac61ffc12b0a3c9a1e797682735c94f0b3.jpg;X;X;6;7
214;41;a92e0e57271054308e87d3fd64530bd812c43978.jpg;X;X;4;1
215;246;49ec32bdf9f7a1f5ddecc606f3cb42a4ae6c44fd.jpg;X;2;4;6
216;124;24bac054e26aff252bc4dc768a43a8d20a82c380.jpg;X;1;2;4
217;43;d4e4850433c86506a1e0712a3fcf639dba393c79.jpg;X;X;4;3
218;62;1eec400baaac813f4b3afff59923a338d669c584.jpg;X;X;6;2
219;85;c2d2ca4a41d723ee42c407d1fdc86a542b597dc0.jpg;X;X;8;5
220;28;4406201aab58cec6990ce4738eec3f353ada3c0f.jpg;X;X;2;8
221;76;74e0e46b6111bafccb1d01cb684dab0d604a9142.jpg;X;X;7;6
222;120;cf9e98f7f7793bc13d41d24a7fce6ef600a57fa4.jpg;X;1;2;0
223;161;0f7d9a795212d9e140181ec73a32a493af22a100.jpg;X;1;6;1
224;40;81200578963bee698c6c450dfb448255f0b991af.jpg;X;X;4;0
225;301;15ec2ecb8287e6b0e98d20ae5933c0e41012aff0.jpg;X;3;0;1
226;46;bd2e1293ba838ca0fb9baf0d4a8aaa7cfda007dd.jpg;X;X;4;6
227;41;21e25ab0ed146f090ce70a747ce621c60ef263ef.jpg;X;X;4;1
228;113;191fdfd5dbe6f3c98f8c177128349077b1e4c876.jpg;X;1;1;3
229;21;d0183d179d58dd8157283feb50a7b2bd53b24005.jpg;X;X;2;1
230;207;36c8f6a2971fa968f0eb9c75c27136ef2b1bf73f.jpg;X;2;0;7
231;191;12eaf64c705f59843fee2458d0f442246077beac.jpg;X;1;9;1
232;54;e1aede3b8be7b86dbacf12494d7fb737f614e1df.jpg;X;X;5;4
233;42;1046212bf9fd73fcd343e2f80886e92ebe4f7673.jpg;X;X;4;2
234;46;5d86e39532e6eac079395d645962a455678aced9.jpg;X;X;4;6
235;83;530cd0787c68b42d9a0c2d054b28bdddc37b1175.jpg;X;X;8;3
236;48;9a0c8185141db0f185bed03de473f55c7ef3ba35.jpg;X;X;4;8
237;66;08d0cfda33f8ba7f58945e600ae44daa93ed0cda.jpg;X;X;6;6
238;58;73bdc1e381510f46aac391bddd99d2dee1f39e8d.jpg;X;X;5;8
239;267;39dbdff5337ff8bf555923bf6b4e7918ddf698af.jpg;X;2;6;7
240;206;e8cf4d4a50b7b5502cad2d1d36655f3734551428.jpg;X;2;0;6
241;61;46fa7d1747356d68ecae9b59cd6ae8086fd6123f.jpg;X;X;6;1
