;used_liter;image;cadran_1;cadran_2;cadran_3;cadran_4
52;21;1ab9a5d0784ed58025fdf4c05bb7dcc9bdd82d1c.jpg;X;X;2;1
53;79;04ffa7c87c0412f538dacdabfac0b150b3a9ba0b.jpg;X;X;7;9
54;287;181c92338dae4de2c581ac685ac7dbcea317fa56.jpg;X;2;8;7
55;48;1c0cf63b3e24405bd23d2d0bfe5a8452a1f994c8.jpg;X;X;4;8
56;289;0049f5e5a1de1b35fd58c707f41a6e25c0472902.jpg;X;2;8;9
57;230;040fe5eaa0e1767fcc14a08aa1fd32334bb480a4.jpg;X;2;3;0
58;60;1f0988d745d9e1c81e58e6e62b9cf70c8f500e55.jpg;X;X;6;0
59;55;152b5076c320a236b29fd15a00ef58c78b312fa7.jpg;X;X;5;5
60;218;160454d64d65f461939f1bab6dff24caec7b2584.jpg;X;2;1;8
61;61;08ac3f405d34b1f5454846398e3686f111dba44b.jpg;X;X;6;1
62;98;07359488ed9e2834a7b8347959deeddcc0617ca1.jpg;X;X;9;8
63;198;0d9a0966ffe42c77d0c31bafb40095fc6f08ce50.jpg;X;1;9;8
64;225;1ff55752b970aa4fe70abba28cab7df3da7d772a.jpg;X;2;2;5
65;48;17e434e3e3f1c502cf3568db2c1c08613512ac09.jpg;X;X;4;8
66;81;1df65db52c4d483cb50592e2b1501f4fb29ac721.jpg;X;X;8;1
67;150;147e5e634eccda8c75bb50b539ec8e768bc95b43.jpg;X;1;5;0
68;100;0512f8e4dbdcf8b199630f8e42dc121d5bd76427.jpg;X;1;0;0
69;64;152b2d43d5631e909112db8a9e54b3dbb6f66e1f.jpg;X;X;6;4
70;56;1e12adab9c1cf9fc2767b5570ea09e16bcbd052d.jpg;X;X;5;6
71;41;181ac42851d793fa6175b67703dfe2dde29afd97.jpg;X;X;4;1
72;155;080dcd330da13037add163e17c91550d2e946b55.jpg;X;1;5;5
73;40;0f8e6744ed8b322bbeb54599b309ecf2e0de4945.jpg;X;X;4;0
74;63;046b00fd9cdede7779708461dbe4999154684f7b.jpg;X;X;6;3
75;26;0a8b40c58493a308fc95b90a4f6d13df57ac9459.jpg;X;X;2;6
76;63;0638cd7a868ee31c370c9f43acc0399ce535617a.jpg;X;X;6;3
77;73;094a2ccd334b1f57a1a7de700e88f2196cb0aa01.jpg;X;X;7;3
78;235;17bf0739bf830b20ef259d18788e74d4209d922b.jpg;X;2;3;5
79;65;226d41b6ea6f19866167787cba2da84b25b5c510.jpg;X;X;6;5
80;74;075e579783297a4fab0b866af8d3ae13b6873e39.jpg;X;X;7;4
81;107;1cde9ccb159cb0b09af8cb004113d3f8be681c95.jpg;X;1;0;7
82;59;19ad5cc9a329660869d5de0aa92d4ca74d54468a.jpg;X;X;5;9
83;175;130434f8eebcd2a27348032a586a726bd40cb097.jpg;X;1;7;5
84;215;15518f179422ba96c17cbff1db58e5339775395a.jpg;X;2;1;5
85;59;0af4f227dc701fbebd71372d964e4deaf8689071.jpg;X;X;5;9
86;65;2457529fa6141294965551dfcc94f17006193512.jpg;X;X;6;5
87;122;076a28ab498dac374d9c47bab758137b87429fc4.jpg;X;1;2;2
88;211;1c9aa921313f8b3b8dfde6130c91d9de4391570b.jpg;X;2;1;1
89;64;02ef105d87ae6ac485c22bd296aab79fbafae665.jpg;X;X;6;4
90;55;134522342e60f4da2470d1126a323c9269426dd1.jpg;X;X;5;5
91;196;1d2a55aafd98aae0740223c48b23ad7cfbdfa7c0.jpg;X;1;9;6
92;69;1df11a1003530da7f49e7dec9b48e9aad214683d.jpg;X;X;6;9
93;310;005b1a6cf0d2484b562bd8c5ab0353e58dbee9d1.jpg;X;3;1;0
94;63;1c2382dbea98c188687221510c43e9fd4e29afcb.jpg;X;X;6;3
95;153;035749e353aee6c7092c845d98a84b196480fda1.jpg;X;1;5;3
96;128;183ffe90ccdd1439b80808918f1106e1e9dad578.jpg;X;1;2;8
97;226;13f61c49ac032d3ddcfdaf402006223741451e81.jpg;X;2;2;6
98;114;1b053ba3945609e0a8850a5a864e74838e572adf.jpg;X;1;1;4
99;111;040d05439b08fb8f4af453bd64e43ea47fb829a0.jpg;X;1;1;1
100;57;06dc61e60a2a6c650a61dfed2e3b27df7b155ff9.jpg;X;X;5;7
101;308;085d40a4f08f0cff0b9483e15bea7f58fde04ed5.jpg;X;3;0;8
102;208;0d37b1653107d4413b07d26d20f59a919ef45564.jpg;X;2;0;8
103;209;0d3fbca3c72473d8277fe990396127d22c6dc549.jpg;X;2;0;9
104;94;16ece67657805562e03617b7a57a1eb43ed72903.jpg;X;X;9;4
105;56;09ae97265223b688b67803c3f471e528c9df6939.jpg;X;X;5;6
106;66;1dafcfe3396e0408ca82061eef6a43f9f732fb91.jpg;X;X;6;6
107;171;241eb236214bee9822cab4adba58dfc4de0a3751.jpg;X;1;7;1
108;56;198508aba9fa71fff7a356be7b0816d7b5d3ae7b.jpg;X;X;5;6
109;77;22e243756e856aa20fe305669988b86fa84cda93.jpg;X;X;7;7
110;35;0bb56ab06ad4be30885f0254e3a73ec8c90574d3.jpg;X;X;3;5
111;40;144a43741b9b6f7301e4b9c0251593b920f4150d.jpg;X;X;4;0
112;18;20af9eb08dd82985ebd33947f51bd9268e1bb20a.jpg;X;X;1;8
113;215;0ec67bbc3e1d1cb836e6f0a9feb29441ca46df76.jpg;X;2;1;5
114;111;1da137a462dcfaffb1080748779a8229d978524a.jpg;X;1;1;1
115;60;239707f4afc926ed6b99d0570af619ddcc9acc92.jpg;X;X;6;0
116;420;09c8254fe0f51a8b66c9a1fee53c0d22c5d5c0e7.jpg;X;4;2;0
117;125;14c6d59dd775794c094ac927e0d5545c69721bd4.jpg;X;1;2;5
118;115;108d8ccc2dc0fffe6f01dce3415b4aba8147cf73.jpg;X;1;1;5
119;115;1ca1a48fd14bca5653e98309f50d6476c4cd15ad.jpg;X;1;1;5
120;16;0bef712fd256fd13f01ee11d08b1aac8cf2cf9ff.jpg;X;X;1;6
121;121;159449212c428b53ad5fb9e7c775358ad3845ea8.jpg;X;1;2;1
122;6;138caf893569777cd3204df678e352a9c457dede.jpg;X;X;6;6
123;119;17b2bec78ebbbb1a239734a48c54e13481cf937f.jpg;X;1;1;9
124;75;19de5c1e7403dddcc58fe6d3adc4ed3759617a81.jpg;X;X;7;5
125;50;1b4168c6e014d9588802c70e74cde6511c012454.jpg;X;X;5;0
126;43;0d920b3d5f881fbacbac717d5046c0c7995a3bbe.jpg;X;X;4;3
127;39;0167a048f5484d9c50d0078a0b7d1060690775b5.jpg;X;X;3;9
128;108;04ca2e54c4e2e994dc7227f4c650af003165b924.jpg;X;1;0;8
129;55;12a565a382f82ae33fabe183c53a1ac271f2390e.jpg;X;X;5;5
130;35;18233ef5897545da5d49bf3bb6e64c9be3d658b9.jpg;X;X;3;5
131;95;12904f02e53067c35b8e7f92ae278cf68a3d5286.jpg;X;X;9;5
132;345;1388f0cc4733e2c224c96b631b17caf399806976.jpg;X;3;4;5
133;25;01acf34e2e7d2d9807fbbfb5ba243c5977e6c9e9.jpg;X;X;2;5
134;52;12be8b5dc8c1b08ec579940710ddd6e1443b512b.jpg;X;X;5;2
135;122;182f60a8d94cb4ec915519c6623fe48552457cf0.jpg;X;1;2;2
136;54;1334a17f77a5abe4e0f821671baa0589852bf223.jpg;X;X;5;4
137;178;0cf5e750c972d02ab3fd6d246ab687728e3dd878.jpg;X;1;7;8
138;202;231f7c763bd85f893294ac297df6a855608b6cc5.jpg;X;2;0;2
139;58;037498c9986c46d3bf00a96eddfbd6ce4fd50a85.jpg;X;X;5;8
140;38;0795e19f4093a9cdd61ff2193f5bb8c6e970d4f9.jpg;X;X;3;8
141;39;089010fdc67f35917e09419320852584afa58f79.jpg;X;X;3;9
142;26;17ef620d20013eda5358b375de69b79af632d8b6.jpg;X;X;2;6
143;21;0316e66546e984e09bf472a8773dd269476ffcde.jpg;X;X;2;1
144;224;146c1ee65111c9dc26a4d67d3990c0a723071274.jpg;X;2;2;4
145;68;01d50cc49f489cbbe66b7c482b1b07fe97b42c5c.jpg;X;X;6;8
146;60;00b527335f956f6e4b1ba87ae0fa96d6b2b82314.jpg;X;X;6;0
147;48;20694329ffd81e151b7b1fca7a42d8b0f453630e.jpg;X;X;4;8
148;64;083b86985e38e8b80e0b8278b552bbf98ef6d294.jpg;X;X;6;4
149;78;23ce057728a29ccbe49660511d4dec4f20203f0e.jpg;X;X;7;8
150;54;09d66d47aa62a60d35fcb38a79cc0694c47962f9.jpg;X;X;5;4
151;65;0098fde1754c51028bb4785e9eb5ef39519c1e16.jpg;X;X;6;5
152;90;18575dcb98f14398dcbced537234bed3b342bc09.jpg;X;X;9;0
153;30;1a5bd719ef497ccce3884bceeff5de2a3da0a091.jpg;X;X;3;0
154;55;07f55c83fc6c59a31cfa3f7deeb249f7193c89a9.jpg;X;X;5;5
155;60;14d41830fc7e0225f9a3c5af110c849c76c5c6f6.jpg;X;X;6;0
156;67;21fde4cdb701b5e8bdaa222921a44a0de8567a8a.jpg;X;X;6;7
157;62;1a9cadce49b5cea9a08a235be090b61d29158d9d.jpg;X;X;6;2
158;73;233a03d76b3ba32e18785dd0f9bbf0ffc785fc34.jpg;X;X;7;3
159;245;0d740a7b8f5a554de70f86eccfe94b02b8ba7356.jpg;X;2;4;5
160;74;2203a81563efbf118455eddab74a486dc8d1d3ca.jpg;X;X;7;4
161;79;1e4a192290e9550130bcff53f5903dc9d5c779f4.jpg;X;X;7;9
162;150;2310feaf4bac9b7e5abbc64508c28f94a8298041.jpg;X;1;5;0
163;59;0ca648839030b87b21ae76d9685922d29a513947.jpg;X;X;5;9
164;221;00281c9f970508adc21370e667f9dc148cc34bdf.jpg;X;2;2;1
165;55;18d547cc3c8a4ae9355b31763aecb9ca1d6e903f.jpg;X;X;5;5
166;63;0b7d12c697c8129ceeca43f75710bfb2ac274f5f.jpg;X;X;6;3
167;186;0c8b6092d8484719789240f0fc04ff30421834d5.jpg;X;1;8;6
168;212;1c9408957a827a1bce36d9057d8a075e7c0b706f.jpg;X;2;1;2
169;491;141e4edbf365a523d198c866830f6d2302d7e0a8.jpg;X;4;9;1
170;176;1ff9eef553663acb92add0027644929822be7af9.jpg;X;1;7;6
171;79;0e40a9dec5f22ddee0eeef87531212c9897daba3.jpg;X;X;7;9
172;46;1854f84c70c7e42e605f0b1d9be48a62f4b7fbef.jpg;X;X;4;6
173;34;0f5e7f6d8632b5ea1d6bb3bee11ab64799f08d7c.jpg;X;X;3;4
174;100;197fbe90bfc141635ddaf2dbe4c9f9a998d783d8.jpg;X;1;0;0
175;101;1e208b90dd3effa0b11ab792dc605205fc497456.jpg;X;1;0;1
176;62;02fa089c3f84dede3da23025f669d3066ee55b1c.jpg;X;X;6;2
177;218;00f531ce72874de5bfd9f41ff95662d448e73b0e.jpg;X;2;1;8
178;335;1272449a2bdadef7011b023893f58a3f18fa765b.jpg;X;3;3;5
179;55;0cb3113f02dd8db052264add6e1f341e1718b020.jpg;X;X;5;5
180;231;04141a569fee9bb9a85c6d3f9e4005c7fe392c06.jpg;X;2;3;1
181;185;184a1566a2348a47cb6e58b29525999712024815.jpg;X;1;8;5
182;57;21dd32102ff4b794e01d8e6a5429103116f1dd3e.jpg;X;X;5;7
183;206;12f4ac5cb886c93c80a23dd0835ed3f4053106bb.jpg;X;2;0;6
184;228;0c0c1d3dcd197c16790d55fe1a246753f923c284.jpg;X;2;2;8
185;63;1d6dc7383008ed8d2c0f303b53ba39ee0c198419.jpg;X;X;6;3
186;187;212a3ae474b6e4eb69b3a1c905756d5adbfdaff9.jpg;X;1;8;7
187;126;02b9e81c1f5bdb956f7a5c85f8aa964e02947c97.jpg;X;1;2;6
188;46;17074c6c0fba09c11471fd3b2231d77ba33353e3.jpg;X;X;4;6
189;18;12d839a3d2353283c6943a10fc41506f77f8cba3.jpg;X;X;1;8
190;401;1faadcd60711bfa7aed065e53cf8b61c95aea34b.jpg;X;4;0;1
191;210;206eea703403ec381f3d9b30c1178edb954c0d34.jpg;X;2;1;0
192;225;1a62597c11b9158d1ddac1baf78881031051ff62.jpg;X;2;2;5
193;275;0298c004af3db41b4c9f3356b8bd66653ffe0048.jpg;X;2;7;5
194;182;0a1e1c676aa31a9f56818e580d7a2e20689fefba.jpg;X;1;8;2
195;41;0b69e687253c1d8d2a222517145a13463ee5d4b3.jpg;X;X;4;1
196;91;1d335098977d3daf11051b28dea187de9e2c96d9.jpg;X;X;9;1
197;218;06938e34b0ea0d9f5855389099b2a1d135b65675.jpg;X;2;1;8
198;193;1937f2d8a9b911783386c51a46b9f7801e63c341.jpg;X;1;9;3
199;217;1b6e87e09884270ef8d5ca8c17a4d530b339d447.jpg;X;2;1;7
200;17;01655d44829e5a4d8f7deb7113bc62224103a58f.jpg;X;X;1;7
201;53;1412307984ed338e13f373ce96a3369d62f84962.jpg;X;X;5;3
202;60;0eb5e98472541520dec5b25e9387b978bc2aaee3.jpg;X;X;6;0
203;144;152f49bbd8316887258b25a2438a6502b8f019d7.jpg;X;1;4;4
204;177;1fe0c3f52881dbe377454659862b7f1118f01d58.jpg;X;1;7;7
205;206;14a5f2f319d5141d645cb652ee80f262c87b21e3.jpg;X;2;0;6
206;112;217363468c090d2dfa0afc3ba75e169a3ffcfaba.jpg;X;1;1;2
207;31;102bb04f124472ff6440f44d66e86c7fb4eaa66d.jpg;X;X;3;1
208;64;210e22be24e5ef3c7275baad378df0c46d973884.jpg;X;X;6;4
209;73;09fda954ae2a797eaa9cc6ee8b66884b158f8bba.jpg;X;X;7;3
210;34;0afd972947328a5e9f474486b74c6dc49c4df3bb.jpg;X;X;3;4
211;117;00523ae894dfdb009a92404a46e04aeb4fff70b5.jpg;X;1;1;7
212;51;247d9405130dd88758f9a44a5e83037f7fcdad2e.jpg;X;X;5;1
213;96;08f9e4f505697b3cad80a26ba645d80b7cb28562.jpg;X;X;9;6
214;199;0f05dc10feb8e544d743e4bca1aad6b6cf0810bf.jpg;X;1;9;9
215;62;112dabc2b291a2000b8b994fccddcdf91636eb7a.jpg;X;X;6;2
216;37;192778bc65a6a67964c7be09ed82c39b0131508e.jpg;X;X;3;7
217;222;0e11679f05b72f9579d02b56283103326de7f6fa.jpg;X;2;2;2
218;342;2314eef682699db2fbb1f235af8a9a29008abb62.jpg;X;3;4;2
219;47;10781aed641a429875a1b1d7773b46a57b040908.jpg;X;X;4;7
220;426;0a737aefecf9233d8450aa67a6df9035c7e51bd8.jpg;X;4;2;6
221;67;1069a94dbe7902d271d7a58933c40cc68bd55585.jpg;X;X;6;7
222;198;09b283c81a4bd3a19d8329bda8f7d8e301739558.jpg;X;1;9;8
223;47;175f51edbe55fe7781d49f06fcaafe22ea578901.jpg;X;X;4;7
224;68;246f67e65655884e98db8226dbd3d345b68c9f58.jpg;X;X;6;8
225;69;2319bf997ad344eb4860c1b6c50bbeef1eb43685.jpg;X;X;6;9
226;80;1bba22daf4e03295d6b52d6d3aa7a0dc019ab8c0.jpg;X;X;8;0
227;80;1c1c718f7dd549b0202edaf3bf6147ef18025cc4.jpg;X;X;8;0
228;59;1e97d030260bba497fb585b795c9afbf77623b68.jpg;X;X;5;9
229;83;177c0d0896184c7cb5dfc1a482f953ac60da118f.jpg;X;X;8;3
230;60;0985879d460d60bdd355dbb381de0d0f3eb189bd.jpg;X;X;6;0
231;229;13f4074520883462266b0eab3f13246c6aa07aa8.jpg;X;2;2;9
232;215;0d0d9fb515c6d291390f0a71e8f254dd0f5be616.jpg;X;2;1;5
233;109;1607ca8b8adc4399ba26923cf33db9b515cd8282.jpg;X;1;0;9
234;42;1440ec625b0e89bec079521680c8f0a950036073.jpg;X;X;4;2
235;77;0103cfe2bc953da1a4d0a24b0d1870c4cc708eea.jpg;X;X;7;7
236;75;05c9f1f992327506b286f8bbd6178656e258e8e7.jpg;X;X;7;5
237;40;061d1c5456e46a8f8ad6dffa788647d612d8272f.jpg;X;X;4;0
238;68;1e447e6ac24a0dce1790431e58652c2205156900.jpg;X;X;6;8
239;41;200cdee7541e5970c17aa7db65dd625e4fd873df.jpg;X;X;4;1
240;52;1dd0d6931af2dd9eb5c94f9b41cd6fd0619067c5.jpg;X;X;5;2
241;59;159188191d4a495d14b102b0e5aba9d19fa76e7b.jpg;X;X;5;9
242;47;1416992754fad7e53b75d5ac9177e61f7b17f00b.jpg;X;X;4;7
243;61;1ba1e0e5b63d9d9451bf18b4a934ba2774ed6ddf.jpg;X;X;6;1
244;85;10a8d9c7d99baabd9aa4aab95255618f35ea0738.jpg;X;X;8;5
245;45;039479e6f698c714d11c61d7406b153355a2cff9.jpg;X;X;4;5
246;330;0bae87eaecd7f842ee2c17bd6d5fbbf37b23029d.jpg;X;3;3;0
247;179;14a85ce20ee84f9c83b67f99e7eed22c772fabb8.jpg;X;1;7;9
248;299;00902c132e3e7646c600e31d2a76517386f9e12d.jpg;X;2;9;9
249;529;082cb44c0f16c7883ce69d3a9b4db6bcd61dce67.jpg;X;5;2;9
250;449;12490a1c9281ac70a3df3185c770f981c2f3d6c4.jpg;X;4;4;9
251;173;0dd592299667e73968193ec117b1d07144521e55.jpg;X;1;7;3
252;222;06cec77f0f984cd7776c059a2aca2e4105071af7.jpg;X;2;2;2
253;170;1134fc0fdfc05686fa1aa2002f83cb48fc00a286.jpg;X;1;7;0
254;195;0590ffd77ab158c4543d29473ace015f388a8bdb.jpg;X;1;9;5
255;200;129685f0d6901a0ea39f675fba67c8f25dd4656d.jpg;X;2;0;0
256;215;066b77046643b58768679339bd153783989477b2.jpg;X;2;1;5
257;203;1500c3fafe8c90dd295835a1574ef2352b675128.jpg;X;2;0;3
258;70;0cc9f2fa15d86c32226e491ef2d3bd093e3acf3c.jpg;X;X;7;0
259;55;1b550b3b8550f70e0532e7f84c18b27a8711367d.jpg;X;X;5;5
260;59;01571ab5ea56dcd5a0ec4a57181723fed036cced.jpg;X;X;5;9
261;57;08cd65db0705105a6d0b52b47d1f36b041487581.jpg;X;X;5;7
262;60;1253734f3c5256baf4003b208a4fd06f5e2f8ed0.jpg;X;X;6;0
263;74;1b5c6804e4d643de9cdae321ceeb9b5d0231ae07.jpg;X;X;7;4
264;52;03b92e70372b7620e2a2f844b7789f729783fcd8.jpg;X;X;5;2
265;300;0f13aa7539ca0dd52844366c3ec25a569688a033.jpg;X;3;0;0
266;55;20eeb18a1f2afe9ea0e09bfc4e1abfe6010615ea.jpg;X;X;5;5
267;99;0668c2bda67f90c8346dc33f729b351a3936548c.jpg;X;X;9;9
268;129;1eaad91b157095fdf3b970673ca5cc2a23ca2f48.jpg;X;1;2;9
269;40;1f12e3a5efa64f0f6a191c805ea4108bdfec656a.jpg;X;X;4;0
270;305;089068f6ea71da89d2256c79be37de1df0dae553.jpg;X;3;0;5
271;50;003f850dd53366ca94bf48a6d47025d2e8241723.jpg;X;X;5;0
272;65;222d5e66b94765ac109a49cd31910c8b4e2d3555.jpg;X;X;6;5
273;59;247af2172d1d58c76756b89c4b760f142e530828.jpg;X;X;5;9
274;58;1fbf0c07f81460ac53b80511fb55c06d32a3850c.jpg;X;X;5;8
275;9;049404045d040107ebaf0da2158ad38a455b61f4.jpg;X;X;9;9
276;63;238bc5f66256e014eee43a6314615982d8b470c6.jpg;X;X;6;3
277;425;2313a8664e97608946187b06ca0a7957ffd379cc.jpg;X;4;2;5
278;60;028db92ffbe41bbdc0c7071239e1d579eb3e0792.jpg;X;X;6;0
279;108;2316850e6469690f610b97d83902e303c02c81fb.jpg;X;1;0;8
280;62;22b09cbc2038cc916db72a82ad0a9d95086534eb.jpg;X;X;6;2
281;282;11bb381f0b607b481d7e7c642285fc06b0f46042.jpg;X;2;8;2
282;69;0f221729e0296f6671c818fec857b4a828f23274.jpg;X;X;6;9
283;35;15cda7bf36a8d8b8de543ed1ee5749dc356dbee2.jpg;X;X;3;5
284;78;12e168d35925db85c94cf9b95b7683f071d6ea61.jpg;X;X;7;8
285;59;1c3a1695baa8639a34118790f2490a2ff20e4b6d.jpg;X;X;5;9
286;56;1a97f3c9c829bb011c69db95d64b52dce26bfa64.jpg;X;X;5;6
287;52;0c81525942a27f349176f018cfee443e623cf28d.jpg;X;X;5;2
288;25;23790d9fcc3954332d1f909d4bf3c9db1231c99b.jpg;X;X;2;5
289;61;1183e60d7cb20d93fa379aa0f17d8526c8584f51.jpg;X;X;6;1
290;30;0860c1e3e4de3be5d9945c837ef806ae05f538fc.jpg;X;X;3;0
291;64;11882e2fa90201b12083681dec5e05559135614c.jpg;X;X;6;4
292;69;10f79fbe4274bd278c3f10f2d5f63a302d9cee0c.jpg;X;X;6;9
293;70;06cc65bcc6bdbed5af3afcd6c08dbca5475fff76.jpg;X;X;7;0
294;199;0307110579f9699db48441ab71f3617acd055cdc.jpg;X;1;9;9
295;37;0f2e8ac5cc3136234ecb41160eab0893f817910b.jpg;X;X;3;7
296;43;23780ccb9ee93683dfb092ef10c0cac422009b08.jpg;X;X;4;3
297;45;11317e7793f48179967dbc6c9a62f674c6e13099.jpg;X;X;4;5
298;125;08e5c29addcf21a37718722500e74e07a387834d.jpg;X;1;2;5
299;73;050c973ad7a3e762355e69bf2029eb54446e16d1.jpg;X;X;7;3
300;71;0abc6e9c326112c5da6c942cbddde171691c1ac0.jpg;X;X;7;1
301;40;1090efc7f8571dd0792d4e452045c4aa95339590.jpg;X;X;4;0
302;65;13f8f72a9743232633f390ee4a28a7703bbe3a94.jpg;X;X;6;5
303;72;096f86d026f75e1a1fd58997f8880bc3d04130db.jpg;X;X;7;2
304;65;164e4f71b6406ef8128c99bcec3488e002857fe5.jpg;X;X;6;5
305;95;1adcd452c57a2ded88b5b23fc8dc2a07ea6a9baf.jpg;X;X;9;5
306;80;2104793829f093fea5a153c39a3a0303d76ebfcc.jpg;X;X;8;0
307;53;0142687bb50c6a5d43aefe7999e20eed31d41d3e.jpg;X;X;5;3
308;71;073e480c427c829d8251712e2cdf9100e1a0f5e1.jpg;X;X;7;1
309;71;072456b3d98badfcf0b001b0e8021a384fea8bfd.jpg;X;X;7;1
310;66;0025005d968036b9f215f359dcc515dc6a0b7286.jpg;X;X;6;6
311;46;15b3ed794e270a24f01620586fed17f53344c54e.jpg;X;X;4;6
312;239;1549e80569e51deb5c11b9120f10c405b3e5493e.jpg;X;2;3;9
313;230;08ca689e9648f2874fc69a48006777bfb8e7992b.jpg;X;2;3;0
314;195;179b40abff5ade4f46dae9eb8a262f568b0371c3.jpg;X;1;9;5
315;58;04188a24559dc03d0f0f6378d3b8661a7140eef8.jpg;X;X;5;8
316;85;1c6dd700ed4939e027441264564efcb05f624de8.jpg;X;X;8;5
317;63;17f734894d183af2a3326a334feb4f706b0f5c21.jpg;X;X;6;3
318;23;1f09f9f0469274fe36d24ecd41ae6b228ad64159.jpg;X;X;2;3
319;60;1e7448a9a6ae59e6b93feece8f0fdbe522732b6d.jpg;X;X;6;0
320;63;1b6948b086f001d12a153572606f78744c006c24.jpg;X;X;6;3
321;210;054b18716508c5e377f4c83e2c8778ad07dd73e5.jpg;X;2;1;0
322;62;04fa85dc70bb282a0a6f7e5f6226a46b47bd939f.jpg;X;X;6;2
323;105;02b1c61670139b5eb2486f4032dc8b3466702200.jpg;X;1;0;5
324;48;077c03fd2d07356e8509c6b626f435d197887956.jpg;X;X;4;8
325;49;087d4001282bad3f09c78b554e0d145699445d93.jpg;X;X;4;9
326;111;1e0ec6a309e96e512794dc6b1d01fefb98b5ff23.jpg;X;1;1;1
